;"Cecropia purpuracens";"Cecropia concolor";"Cecropia distachya";"Cecropia ficifolia";"Pouruma heterophylla";"Hirtella myrmecophila";"Hirtella physophora";"Duroia saccifera";"Cordia nodosa";"Cordia aff. Nodosa";"Tococa bullifera";"Maieta guianensis";"Maieta poeppiggi";"Tachigali polyphylla";"Tachigali myrmecophila";"Amaioua aff. Guianensis"
"Camponotus balzanii";11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Azteca alfari";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Azteca isthmica";1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"Azteca aff. Isthmica";1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"Allomerus D";0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0
"Allomerus prancei";0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
"Allomerus aff. Octoarticulata";0;0;0;0;0;3;70;27;0;0;0;0;0;0;0;0
"Solenops A";0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
"Allomerus auripunctata";0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0
"Crematogaster B";0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
"Azteca HC";0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
"Azteca G";0;0;0;0;0;0;0;0;0;24;11;2;0;0;0;0
"Crematogaster D";0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0
"Azteca CO";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Pheidole minutula";0;0;0;0;0;0;0;0;0;0;1;93;28;0;0;0
"Crematogaster A";0;0;0;0;0;0;1;0;0;0;7;7;1;0;0;0
"Azteca TO";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Crematogaster C";0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0
"Azteca schummani";0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0
"Pseudomyrmex nigrescens";0;0;0;0;0;0;0;0;0;0;0;0;0;7;16;0
"Pseudomyrmex concolor";0;0;0;0;0;0;0;0;0;0;0;0;0;16;18;0
"Azteca D";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Azteca polymorpha";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"Crematogaster E";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"Azteca Q";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
