,Unidentified detritus,Terrestrial invertebrates,Plant materials,Meiofauna,Achnanthes inflata,Achnanthes lanceolata,Achnanthes linearis,Achnanthes minutissima,Ankitodesmus sp.,Batrachospermum,Blue-green algae,Calothrix,Cocconeis placentula,Cymbella kappi,Cymbella kappii,Cymbella mulleri,Diatoma heimale,Epithemia sorex,Eunotia pectinalis,Fragilaria vaucheriae,Frustulia rhomboides,Gomphoneis herculeana,Gomphonema accuminatum,Gomphonema angustatum,Gomphonema intricatum,Gomphonema parvulum,Gomphonema sp. III,Gomphonema sp. unk,Gomphonema truncatum,Green algae,Gyrosigma,Melosira varians,Navicula avenacea,Navicula rhynocephala,Nitzschia dissipata,Nitzschia dubia,Nitzschia linearis,Pinnularia spp.,Rhoicosphenia curvata,Staurostratum,Surirella elegans,Synedra ulna,Tabellaria flocculosa,Ulothrix,Ameletopsis perscitus (N=13),Aoteapsyche raruraru (N=8),Austroperla cyrene (N=15),Austrosimulium australense (N=4),Chironomini (N=Cricotopus),Coloburiscus humeralis (N=5),Costachorema xanthoptera (N=3),Cricotopus sp I (N=6),Cricotopus sp II (N=1),Cristaperla (N=15),Deleatidium (N=15),Eriopterini (N=6),Eye forward chiron (N=1),Helicopsyche albescens (N=3),Hudsonema aliena (N=2),Hudsonema amabilis (N=12),Hydora nitida (ad) (N=15),Hydora nitida (l) (N=15),Hydrobiosella stenocerca (N=15),Hydrobiosis parumbripennis (N=Chostachorema),Mischoderus (N=1),Nannochorista phillpotti (N=1),Neozephlebia scita (N=10),Oligo II (N=3),Oligo Lumbri pink (N=10),Oligo skinny (N=10),Paracalliope fluviatalus (N=10),Paracalliope pale (N=10),Paralimnophila skuseii (N=3),Paucispinigera approximata (N=1),Polypedellum (N=4),Polypedellum II (N=1),Polyplectropus puerilis (N=1),Scirtid broad spp. (N=2),Sphaerid (N=1),Stenoperla prasinia (N=10),Stictocladius (N=2),Zelandobius (N=2),Zelandoperla fenestrata (N=10),Zelandotipula (N=1),Anguilla dieffenbachii (N=1)
Unidentified detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Plant materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0
Meiofauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Achnanthes inflata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Achnanthes lanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Achnanthes linearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Achnanthes minutissima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ankitodesmus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Batrachospermum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
