,Unidentified detritus,Plant material,Terrestrial invertebrates ,Achnanthes inflata,Achnanthes lanceolata,Achnanthes linearis,Achnanthes minutissima,Blue green algae,Calothrix,Cocconeis placentula,Cymbella aspera,Cymbella kappi,Eunotia pectinalis,Frustulia rhomboides,Gomphoneis herculeana,Gomphonema angustatum,Gomphonema truncatum,Melosira varians,Navicula avenacea,Pinnularia divergens,Pinnularia gibba,Pinnularia sp.,Pinnularia viridis,Rhoicosphenia curvata,Surirella elegans,Surirella striatula,Synedra rumpens,Tabellaria flocculosa,Unknown green algal cells,Ameletopsis perscitus (N=10),Aspectrotanypus (N=Larsia),Austroperla cyrene (N=5),Coloburiscus humeralis (N=1),Cricotopus II (N=8),Cristaperla fimbriae (N=10),Deleatidium spp. (N=10),Eriopterini (N=4),Eukiefiriella (N=3),Forcipomyiinae (N=1),Hydora adult (N=10),Hydora nitida l (N=Hydora adult,Hydrobiosella stenocerca (N=10),Larsia sp. (N=1),Naonella forysthii (N=9),Oligochaeta I  (N=10),Oligochaeta II (N=8),Oligochaeta lumbr blue (N=10),Paracalliope fluviatalus (N=10),Paralimnophila (N=1),Patatanytarsus nr grimmi (N=Tanytarsus),Paucispinigera approximata (N=8),Polypedellum green type (N=8),Stenoperla prasinia (N=10),Stictocladius (N=10),Tanytarsus spp. (N=3),Tanytarsus verspertinus (N=3),Zelanoperla fenestrata (N=10),Crayfish (N=9)
Unidentified detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Plant material,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Achnanthes inflata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Achnanthes lanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Achnanthes linearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes minutissima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Blue green algae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Calothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocconeis placentula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
