,Unidentified detritus,Terrestrial invertebrates,Plant material,Achnanthes lanceolata,Calothrix,Coccoenis placentula ,Diatoma elongatum,Epithemia sorex,Eunotia pectinalis,Fragilaria vaucheriae,Frustulia rhomboides,Gomphoneis herculeana var. robusta,Gomphonema accuminatum,Gomphonema angustatum,Gomphonema truncatum,Navicula avenacea,Navicula placentula,Navicula rhynocephala,Nitzschia dubia,Nitzschia palea,Pinnularia borealis,Pinnularia sp. A,Pinnularia viridis,Rhoicosphenia curvata,Rhopaloidea musculus,Spirogyra,Stauroneis vacheriae,Stigeoclonium,Surirella elegans,Surirella linearis,Synedra ulna,Tabellaria flocculosa,Ulothrix,Unknown blue green algae,Unknown green algae spp.,Ameletopsis perscitus (N=1),Aphrophila neozelandiae (N=10),Aspectrotanypus (N=2),Austroperla cyrene (N=10),Austrosimulium australense (N=10),Brundin (N=2),Ceratopogonid (N=1),Coloburiscus humeralis (N=10),Costachorema xanthoptera (N=2),Deleatidium lilli (N=10),Eriopterini (N=4),Eukiefidrella (N=7),Heliodidae beetle (n=2),Hexatomini (N=Orchymontia),Hudsonema aliena (N=1),Hydora nitida l (N=10),Hydrobiosella stenocerca (N=8),Hydrobiosis frater (N=1),Hydrophiliid beetle (N=3),Megaleptoperla diminuata (N=10),Megaleptoperla grandis (N=1),Molophilus (N=8),Nannochorista philpotti (N=3),Naonella forsythii (N=10),Oeconesus (N=Pycnocentrodes),Oligo skinny (N=10),Orchymontia (N=1),Paracalliope fluviatalus (N=10),Paralimnophila skuseii (N=1),Paucispinigera approximata (N=2),Philorheithrus agilis (N=1),Phreatoicus prasinia (N=Paracalliope fluviatalus),Pirara matakiri (N=Eukiefidrella brundinii),Polyplectropus puerilis (N=1),Psychodid 'backwards hook' (N=1),Pycnocentrodes (N=3),Scirtid skinny (N=1),Stenoperla prasinia (N=2),Stictocladius (N=5),Stratiomyid I (N=1),Tanypodini (N=2),Zelandoperla agnetis (N=10),Paranephrops zelandicus (N=2),Salmo trutta (N=4)
Unidentified detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Plant material,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1
Achnanthes lanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Calothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Coccoenis placentula ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Diatoma elongatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Epithemia sorex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Eunotia pectinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fragilaria vaucheriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
