,Unidentifiable detritus,Macrophyte,Terrestrial invert,Achnanthes lanceolata,Achnanthes linearis,Cocconeis sp.,Cyclotella sp.,Cymbella aspera,Cymbella kappii,Cymbella minuta,Diatoma heimale,Epithemia sorex,Epithemia zebra,Eunotia spp.,Fragilaria vaucheriae,Fragilaria spp,Frustulia rhomboides,Gomphoneis herculeana,Gomphonema angustatum,Gomphonema parvulum,Gomphonema subclavatum,Gomphonema sp.,Melosira distans/italica,Meridion circulare,Navicula avenacea,Navicula cryptocephala,Navicula sp.,Nitzschia sp. (small),Nitzschia sp. (large),Pinnularia sp. (large),Synedra rumpens,Synedra ulna,Tabellaria flocculosa,Oedogonium,Ulothrix,Unknown green algae filaments,Bluegreen algae,Audouinella,Sirodotia,Batrachospermum,Amphipoda spp. ,Aoteapsyche spp.,Aphrophila noevaezelandiae,Archicauliodes diversus,Atalophlebioides cromwelli,Austrosimulium australense,Cricotopus II,Maoridiamesea,Eukiefiriella,Pirara,Naonella,Polypedellum,Cricotopus I ,Tanypodini,Tanytarsini,Coloburiscus humeralis,Costachorema xanthoptera,Deleatidium spp. ,Ephydrella sp.,Eriopterini sp. ,Hudsonema amabilis,Hydora nitida adult,Hydora nitida larva,Hydrobiosella sp. ,Hydrobiosis parumbripennis,Hydrobiosis silvicola/clavigera,Molophilus sp. ,Oligochaeta type i,Oligochaeta type ii,Olinga feredayii,Oxyethira albiceps,Polyplectropus puerilis,Potamopyrgus antipodarum,Psilachorema bidens,Stenoperla prasinia,Anguila diffenbachii,Galaxias sp.,Salmo trutta
Unidentifiable detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0
Macrophyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Terrestrial invert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Achnanthes lanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Achnanthes linearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cocconeis sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0
Cyclotella sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cymbella aspera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cymbella kappii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
Cymbella minuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
