,Unidentified detritus,Plant material,Terrestrial invertebrates,Achnanthes lanceolata,Achnanthes minutissima,Blue green algae,Calothrix,Cocconeis placentula,Diatoma heimale,Diploneis ovalis,"Epithemia 'suqare ended""",Eunotia pectinalis,Fragilaria vaucheriae,Frustulia rhomboides,Gomphoneis herculeana,Gomphonema intricatum,Gomphonema sp.3,Navicula avenacea,Navicula rhynocephala,Nitzschia dissipata,Pinnularia mesolepta,Pinnularia viridis,Rhoicosphenia curvata,Stauroneis sp.,Surirella biserrata,Synedra ulna,Tabellaria flocculosa,Ulothrix,Unknown green algal cells,Austroperla cyrene (N=10),Corynoneura (N=1),Crayfish (N=4),Cricotopus II (N=Polypedellum),Cristaperla fimbriae (N=10),Deleatidium spp. (N=10),Eriopterini (N=4),Eukiefiriella (N=2),Forcipomyiinae (N=1),Hexatomini (N=2),Hudsonema aliena (N=1),Hydora adult (N=3),Hydora nitida (N=8),Hydra (N=1),Hydrobiosis parumbripennis (N=1),Lumbr Pinkk (N=10),Mischoderus (N=2),Molophilus (N=2),Nannochorista philpotti (N=10),Naonella forsythii (N=10),Neozephlebia spectabilis (N=10),Nothodixa (N=9),Oligo I  (N=5),Oligo II (N=5),Oligo smooth (N=10),Paracalliope fluviatalus (N=10),Paracalliope purple (N=10),Paralimnophila skusei (N=Eriopterini),Paucispinigera approximata (N=7),Podonomid type hairy (N=1),Polypedellum II (N=2),Polyplectropus puerilis (N=6),Potamopyrgus antipodarum (N=10),Psychoda sp. (N=1),Scirtid narrow (N=1),Stenoperla prasinia (N=7),Stictocladius I (N=6),Stictocladius III (N=3),Tanytarsus (N=1),Zelandobius confusus (N=5),Zelandotipula (N=2),Galaxias (N=5)
Unidentified detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
Plant material,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Achnanthes lanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Achnanthes minutissima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue green algae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Calothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cocconeis placentula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Diatoma heimale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Diploneis ovalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
