,Terrestrial invertebrates,Terrestrial plant material,Unidentified organic material,Achnanthes lanceolata,Achnanthes other sp.,Cocconeis placentula,Diatoma heimale,Diploneis ovalis,Epithemia turgida,Gomphoneis herculeana var. robusta,Gomphonema olivaceum,Gomphonema truncatum,Navicula avenacea,Rhoicosphenia curvata,Surirella tenera,Synedra ulna,Tabellaria flocculosa,Blue-green algae,Closterium sp.,Cosmarium sp.,Rhopalodea spp.,Scenedesmus spp.,Spaeocystis sp.,Stigeoclonium sp.,Unidentified green algae,Ameletopsis perscitus (N=Stenoperla prasinia),Aoteapsyche raruraru (N=2),Aphrophila neozelandica (N=1),Apsectrotanypus sp. (N=3),Austroperla cyrene (N=10),Austrosimulium australense (N=5),Chironomini sp. (N=1),Costchorema xanthoptera (N=5),Cricotopus Type 'II' (N=2),Deleatidium spp. (N=10),Eukiefidrella brundini (N=2),Hexatomini (N=Paralimnophila skuseii),Hudsonema amabilis (N=2),Hydora nitida (N=10),Hydrobiosella stenocerca (N=Hydrobiosis charadera),Hydrobiosis charadera (N=1),Hydrobiosis parumbripennis (N=Hydrobiosis charadera),Hydrochorema crassicaudatum (N=1),Lumbriculiid type 'I' (N=10),Lumbriculiid type 'II' (N=10) ,Lumbriculiid type 'III' (N=1),Lumbriculiid Type 'Skinny' (N=5),Lumbriculiid Type 'Smooth' (N=10),Megaleptoperla grandis (N=7),Molophilus sp. (N=1),Nannochorista philpotti (N=2),Naonella forsythii (N=10),Nothodixa campbelli (N=5),Nymphula nitens (N=1),Orchymontia sp. (N=1),Paracalliope sp. (N=1),Paralimnophila skuseii (N=2),Paucispinigera approximata (N=10),Philorheithrus agilis (N=Hydrobiosis charadera),Polypedilum Type 'I' (N=Polypedilum Type 'II'),Polypedilum Type 'II' (N=10),Polyplectropus puerilis (N=Hydrobiosis charadera),Potamopyrgus antipodarum (N=1),Psilachorema bidens (N=10),Psychodidae (N=6),Pycnocntria evecta (N=2),Rhabdomastix sp. (N=10),Scirtidae type 'broad' (N=1),Scirtidae Type 'skinny' (N=1),Stenoperla prasinia (N=3),Stictocladius spp. (N=2),Tanypodini sp. (N=10),Tanytarsus sp. I (N=10),Tanytarsus verspertinus (N=10),Zelandoperla sp. (N=Austroperla cyrene),Zelolessica cheira (N=Pycnocentria evecta),Paranephrops zelandicus (N=4),Salmo trutta (N=10)
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Terrestrial plant material,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
Unidentified organic material,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0
Achnanthes lanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0
Achnanthes other sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Cocconeis placentula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Diatoma heimale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diploneis ovalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Epithemia turgida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gomphoneis herculeana var. robusta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
