,Terrestrial invertebrate remains,Terrestrial plant material,Unidentified organic material,Achnanthes lanceolata,Cocconeis placentula,Cymbella kappi,Cymbella lunate,Diatoma heimale,Frustulia rhomboides,Gomphoneis herculeana var. robusta,Gomphonema angustatum,Gomphonema truncatum,Gomphonema type 'coffin',Navicula avenacea,Pinnularia borealis,Pinnularia viridis,Rhoicosphenia curvata,Surirella elegans,Surirella linearis,Synedra rumpens,Synedra ulna,Tabellaria flocculosa,Auodinella,Batrachospermum,Blue-green algae,Calothrix,Pediastrum sp.,Schizothrix,Stigeoclonium,Ulothrix,Unknown green algae,Unknown rhodophyceae 'golden golfball',Acroperla sp. (N=Zelandoperla agnetis),Aoteapsyche colonica (N=7),Aoteapsyche raruraru (N=7),Aphrophila neozelandica (N=10),Aphrotenidae,Apsectrotanypus sp. (N=5),Archicauliodes diversus (N=7),Austroperla cyrene (N=10),Austrosimulium australense (N=10),Barareoptera roria (N=1),Chironomini sp. (N=1),Cricotopus sp. II (N=11),Deleatidium spp. (N=10),Eukiefidrella brundini (N=6),Helicopsyche albescens (N=10),Hexatomini sp. (N=3),Hydora nitida larvae (N=7),Hydrobiosis frater (N=6),Hydrobiosis parumbripennis (N=12),Hydrobiosis silvicola/clavigera (N=2),Lumbriculiid Type 'I',Lumbriculiid Type 'II'  (N=10),Lumbriculiid type 'III' (N=10),Lumbriculiid type 'skinny' (N=10),Megaleptoperla grandis (N=2),Molophilus sp. (N=2),Naonella forsythii (N=Polypedilum sp.),Paralimnophila skuseii (N=1),Paucispinigera approximata (N=5),Podonomus sp. (N=Chironomini sp.),Polypedilum sp. (N=10),Potamopyrgus antipodarum (N=5),Psilachorema bidens (N=15),Pycnocentrodes evecta (N=1),Rhabdomastrix sp. (N=8),Scirtidae type 'skinny' (N=2),Stenoperla prasinia (N=2),Stictocladius sp. (N=8),Tanyderidae sp. (N=2),Tanypodini sp. (N=5),Tanytarsus type 'blunt' (N=5),Tiphobiosis sp. (N=2),Zelandobius confusus (N=10),Zelandoperla agnetis (N=1),Paranephrops zelandicus (N=6),Salmo trutta (N=10)
Terrestrial invertebrate remains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Terrestrial plant material,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0
Unidentified organic material,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0
Achnanthes lanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
Cocconeis placentula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0
Cymbella kappi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cymbella lunate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatoma heimale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frustulia rhomboides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gomphoneis herculeana var. robusta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
