"Argyranthemum frutescens","Asphaltklee bituminosa","Ceballosia fruticosa","Ceropegia dichotoma","Euphorbia balsamifera (f)","Euphorbia balsamifera (m)","Euphorbia lamarckii","Fagonia albiflora","Frankenia laevis","Kickxia scoparia","Launaea arborescens","Lavendula buchii","Lycium intricatum","Nauplius aquaticus","Parolinia intermedia","Periploca laevigata","Rubia fruticosa","Schizogyne sericea"
"Agromyzidae? sp. 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Amegilla quadrifasciata",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"Anaspis proteus",0,0,4,0,0,19,0,0,0,0,0,0,0,0,19,3,0,0
"Anthophora alluaudi",0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,0,0,0
"Anthophora orotavae",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"Apis mellifera",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bassus sp.",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Camponotus feae",8,0,6,1,24,51,20,2,8,0,0,7,1,16,3,36,11,1
"Ceratogoponidae sp.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chetogena acuminata",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Chironomidae sp.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chloropidae sp. 5",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Coccinella miranda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Crematogaster alluaudi",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Dasytes cf. subaenescens",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"Dasytes subaenescens",3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"Eristalis tenax",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estheria simonyi",0,0,1,0,1,3,1,0,0,0,0,0,0,0,9,1,0,0
"Eucera gracilipes",0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0
"Euderus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Eumerus latitarsis",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0
"Eumerus nivariae",0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus ater",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Lasioglossum loetum",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Lasioglossum viride",4,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0
"Leptochilus cruentatus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0
"Malthinus mutabilis",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Megaselia sp. 2",0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1
"Meligethes canariensis",0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"Minotetrastichus sp.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Musca domestica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"Myathropa florea",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neodryophilus cryptophagoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Phthiria simonyi",0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Plagiolepis sp. 2",0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platypalpus sp.",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scenopinus sp.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sciaridae sp.",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"Syritta pipiens",3,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0
"Themnothorax hesperius",0,0,0,0,7,3,0,0,0,0,0,0,1,0,0,0,0,0
"Thysanoptera sp. 1",3,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
"Thysanoptera sp. 2",2,0,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0
"Thysanoptera sp. 3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thysanoptera sp. 7",37,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Urelliosoma guimari",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
