"Argyranthemum frutescens","Euphorbia balsamifera (f)","Euphorbia balsamifera (m)","Euphorbia lamarckii","Kickxia scoparia","Launaea arborescens","Lavendula multifida","Periploca laevigata","Phagnalon saxatile","Plocama pendula","Rubia fruticosa"
"Apis mellifera",0,0,0,0,0,1,0,0,0,1,0
"Aprostocetus occidentalis",0,0,0,2,0,0,0,0,0,0,1
"Araneidae sp. 1",0,1,0,0,0,0,0,0,0,0,0
"Araneidae sp. 2",0,0,0,0,0,0,0,0,0,0,1
"Attalus rugifrons",1,0,0,0,0,0,0,0,0,0,0
"Bruchidius wollastoni",2,0,0,0,0,2,0,0,1,0,0
"Campiglossa reticulata",1,0,0,0,0,0,0,0,0,0,0
"Camponotus feae",2,30,12,27,0,0,2,14,0,0,0
"Chrysomya albiceps",2,0,0,0,0,0,0,0,0,0,0
"Dasytes subaenescens",0,0,1,0,0,1,0,0,0,0,0
"Estheria simonyi",0,0,0,1,0,0,0,0,0,0,1
"Eumerus latitarsis",0,6,17,0,0,0,0,0,0,0,0
"Halictus fulvipes",0,0,0,0,0,1,0,0,0,0,0
"Lasioglossum loetum",0,0,0,0,0,1,0,0,0,0,2
"Lasioglossum viride",5,0,0,0,0,1,0,1,6,3,0
"Megaselia sp. 1",0,0,0,0,0,0,0,2,0,0,0
"Musca domestica",0,0,0,1,0,0,0,0,0,0,0
"Myopites nigrescens",1,0,0,0,0,0,0,0,1,0,0
"Nyctia lugubris",0,0,0,1,0,0,0,0,0,0,0
"Oxyopes kraepelinorum",0,0,1,0,0,0,0,0,0,0,0
"Paratrechina longicornis",0,0,2,0,0,0,0,3,0,0,0
"Pieris rapae",1,0,0,0,0,0,0,0,0,0,0
"Plagiolepis schmitzii",0,3,10,0,0,0,0,3,2,0,0
"Platypalpus sp. 1",0,1,0,0,0,0,0,0,0,0,0
"Sarcophagidae sp. 8",0,1,0,0,0,0,0,0,0,0,2
"Sciaridae sp. 1",0,0,0,0,0,0,0,0,0,0,1
"Scymnus canariensis",0,0,0,0,0,0,0,1,0,0,0
"Tachina canariensis",4,2,1,2,0,0,0,0,0,1,0
"Thomisus cf. globosum",2,0,0,0,0,0,0,0,0,0,0
"Thomisus cf. onustus",1,0,0,0,0,0,0,0,0,0,0
"Thyridanthrax indigenus",3,1,1,0,0,0,0,0,3,0,0
"Thysanoptera sp. 1",3,0,15,0,0,0,0,0,0,0,0
"Thysanoptera sp. 2",6,0,0,0,1,2,0,0,6,0,0
