"Asphaltklee bituminosa","Ceballosia fruticosa","Euphorbia balsamifera (f)","Euphorbia balsamifera (m)","Euphorbia lamarckii","Lotus glaucus","Periploca laevigata","Rubia fruticosa"
"Anthophora alluaudi",2,0,0,0,2,0,0,0
"Camponotus feae",1,8,27,45,29,0,28,4
"Ceratogoponidae sp. 2",0,0,0,0,1,0,0,0
"Chalicodoma canescens",0,0,0,0,0,1,0,0
"Chironomidae sp. 1",0,0,0,1,2,0,0,0
"Chloropidae sp. 3",0,0,0,2,2,0,0,0
"Colias croceus",1,0,0,0,0,0,0,0
"Colletes dimidiatus",0,0,0,0,2,0,0,0
"Dasytes subaenescens",1,0,0,0,1,0,0,0
"Delia flavibasis",0,0,0,0,0,0,1,0
"Dilophus hiemalis",0,0,1,0,2,0,0,0
"Empididae sp. 1",0,0,1,0,0,0,0,0
"Eristalinus taeniops",0,0,0,0,1,0,0,0
"Estheria simonyi",1,0,0,0,9,0,0,0
"Eucera gracilipes",3,0,0,0,4,0,0,0
"Eumerus latitarsis",1,0,0,0,1,0,0,0
"Lasioglossum arctifrons",0,0,0,0,0,1,0,0
"Lasioglossum loetum",0,0,2,7,5,0,0,0
"Lasioglossum viride",0,0,1,2,2,1,0,0
"Linnaemyia soror",0,0,0,0,1,0,0,0
"Lucilia sericata",0,0,0,0,1,0,1,0
"Megachile canariensis",0,0,0,0,0,1,0,0
"Myathropa florea",0,0,0,0,1,0,0,1
"Mycetophilidae sp. 1",0,0,0,0,2,0,0,0
"Osmia canaria",0,0,0,0,0,1,0,0
"Perilampus sp. 2",0,0,0,0,1,0,0,0
"Scaeva albomaculata",0,0,0,0,1,0,0,0
"Sciaridae sp. 1",0,0,0,0,0,1,0,0
"Tachina canariensis",0,0,0,0,2,0,0,0
"Thaumatomyia notata",0,0,0,0,0,0,1,0
"Thomisus cf. onustus",0,0,0,1,0,0,0,0
"Thysanoptera sp. 1",0,0,0,18,0,0,0,0
"Thysanoptera sp. 2",0,0,0,0,0,4,0,0
