"Asparagus pastorianus","Euphorbia balsamifera (f)","Euphorbia balsamifera (m)","Helianthemum canariensis","Kickxia heterophylla","Launaea arborescens","Lotus sp.","Lycium intricatum","Nauplius sp.","Zilla spinosa"
"Amegilla sp.",0,0,0,0,0,0,0,2,0,1
"Anaspis cf. saharensis",0,0,1,0,0,0,0,0,0,0
"Andrena vachali",0,1,0,0,0,0,0,1,1,0
"Anthaxia sp. 1",0,0,0,0,0,3,0,0,0,0
"Anthophora sp. aff. orotavae",0,0,0,0,0,0,0,1,0,0
"Arachnospila sp.",0,0,1,0,0,0,0,0,0,0
"Attagenus sp. 1",2,0,0,0,0,0,0,0,0,0
"Axinotarsus sp. 1",1,0,0,0,0,0,0,0,0,0
"Bombylius sp. 1",0,0,0,0,0,0,0,0,0,1
"Chalicodoma sicula",0,0,0,0,0,0,1,0,0,0
"Chalicodoma sp.",0,0,0,0,0,0,1,0,0,1
"Chloropidae sp.",4,0,0,0,0,0,0,0,0,0
"Coleoptera sp. 5",0,1,1,0,0,7,0,0,0,0
"Crematogaster scutellaris",0,0,1,0,0,0,0,0,0,0
"Hylaeus sp.",0,0,1,0,0,0,0,0,0,0
"Hym. Waiting.",0,0,0,0,0,0,0,0,0,1
"Lucilia sericata",11,1,18,0,0,0,1,0,0,0
"Lucilia sp. 1",0,0,15,0,0,0,0,0,0,0
"Melecta sp.",0,0,0,0,0,0,0,0,0,1
"Musca domestica",0,0,2,0,0,0,0,0,0,0
"Musca sorbens",0,1,2,0,0,0,0,0,0,0
"Nomioides deceptor",4,0,0,0,0,0,0,0,4,0
"Ormyrus sp. 1",0,0,0,0,0,1,0,0,0,0
"Plagiolepis schmitzii",0,6,1,0,1,0,0,0,1,1
"Pteromalus sp. 2",0,0,0,0,0,1,0,0,0,0
"Sarcophaga sp. 1",0,0,1,0,0,0,0,0,0,0
"Sarcophagidae sp. 2",0,0,4,0,0,0,0,0,0,0
"Sciaridae sp.",2,0,29,0,0,0,0,0,4,0
"Sciaridae sp. 4",0,30,0,0,0,0,0,0,0,0
"Tapinoma nigerrimum",0,24,15,1,0,0,0,0,0,0
"Tethinidae sp. 1",0,0,0,0,0,0,5,0,0,0
"Tethinidae sp. 2",0,0,0,0,0,0,6,0,0,0
"Thyreus sp. aff. ramosus",0,0,0,0,0,3,0,0,0,1
"Thysanoptera sp.",0,0,25,0,0,0,0,0,0,0
"Urelliosoma guimari",0,0,0,0,0,4,0,0,0,0
"Vanessa Cardui",0,0,1,0,0,0,0,0,0,0
"Vestitohalictus sp.",0,0,0,0,0,4,0,0,0,0
