"Euphorbia balsamifera (f)","Euphorbia balsamifera (m)","Helianthemum canariensis","Kickxia heterophylla","Launaea arborescens","Lotus lancerottensis","Lycium intricatum","Phagnalon purpurascens"
"Anaspis cf. eversi",0,0,0,0,2,0,0,0
"Anaspis proteus",0,2,0,0,0,0,0,0
"Anthophora alluaudi",0,0,0,0,2,0,6,0
"Aphthona wachnitzae",1,1,0,0,0,0,0,0
"Asteia caesia",0,3,0,0,0,0,0,0
"Attalus chrysanthemi",0,0,0,0,1,0,0,0
"Attalus olivensis",0,9,0,0,0,1,1,0
"Aulacoderus canariensis",2,8,0,0,0,0,1,0
"Blaesoxipha sp. 1",4,0,0,0,0,0,0,0
"Campiglossa martii",0,0,0,0,2,0,0,0
"Camponotus cfr. feae",0,0,0,0,0,1,0,4
"Chalicodoma sicula",0,0,0,0,3,0,0,0
"Chetogena acuminata",0,0,0,0,0,0,0,1
"Chloropidae sp. 1",0,0,0,0,0,1,0,0
"Chrysomya albiceps",2,0,0,0,3,0,0,0
"Cryptocephalus nubigena",0,3,0,0,0,0,0,0
"Diglyphus chabrias",0,0,0,0,3,0,0,0
"Dischistus atlanticus",1,0,0,0,0,0,2,0
"Eurytoma sp. 1",0,0,1,0,0,0,0,0
"Geometridae sp. 2",0,0,0,0,1,0,0,0
"Goniozus sp.",0,0,0,1,0,0,0,0
"Leptochilus fortunatus",0,0,0,0,1,0,4,0
"Lucilia sericata",0,3,0,0,3,0,0,0
"Oscinimorpha sp.",0,0,0,1,0,0,0,0
"Phalacrus coruscus",0,1,0,0,0,0,0,0
"Plagiolepis schmitzii",62,90,0,0,0,0,0,0
"Platypalpus sp. 1",0,1,0,0,0,0,0,0
"Pteromalus sp. 2",0,0,0,0,1,0,0,0
"Sapromyza sp.",0,2,0,0,0,0,0,0
"Sarcophagidae sp. 4",1,3,0,0,1,0,0,0
"Sarcophagidae sp. 5",1,0,0,0,0,0,0,0
"Sarcophagidae sp. 6",0,0,0,0,1,0,0,0
"Sciaridae sp.",8,2,0,0,4,0,1,0
"Tethinidae sp. 3",0,1,0,0,0,0,0,0
"Tetramesa sp.",0,1,0,0,0,0,0,0
"Thysanoptera sp. 1",0,53,0,0,0,0,1,0
"Thysanoptera sp. 2",0,0,3,2,0,0,0,0
"Urelliosoma guimari",0,0,0,0,2,0,0,0
