"Euphorbia balsamifera (f)","Euphorbia balsamifera (m)","Euphorbia regis-jubae","Fagonia albiflora","Kickxia scoparia","Launaea arborescens","Lycium intricatum","Plocama pendula","Rubia fruticosa","Schizogyne sericea"
"Amegilla quadrifasciata",0,0,0,0,0,0,3,0,0,0
"Anaspis proteus",0,8,4,0,0,0,0,0,1,0
"Andrena vulcana",0,0,7,0,0,0,0,0,0,0
"Anthophora alluaudi",0,0,1,0,0,0,4,0,0,0
"Anthophora orotavae",0,0,0,0,0,0,1,0,0,0
"Apis mellifera",1,1,0,0,0,0,1,0,0,0
"Attagenus wollastoni",0,1,0,0,0,3,0,0,0,0
"Attalus obscurus",0,1,4,1,0,5,0,3,0,2
"Bombylius pintuarius",0,0,1,0,0,0,0,0,0,0
"Camponotus feae",34,36,14,0,1,0,1,3,12,0
"Cephalodromia sp.",0,0,0,0,0,0,0,0,0,1
"Chetogena acuminata",1,0,0,0,0,0,0,0,0,0
"Chrysomya albiceps",8,7,1,0,0,0,0,0,0,0
"Colletes dimidiatus",1,0,2,0,0,0,0,3,0,0
"Curculionidae sp.",1,0,0,0,0,0,0,0,0,0
"Eristalinus taeniops",0,0,1,0,0,0,0,0,0,0
"Eucera gracilipes",0,0,3,0,0,0,1,0,0,0
"Exhyalanthrax canarionae",0,0,1,0,0,0,0,0,0,0
"Gasteruption sp. ",0,0,1,0,0,0,0,0,0,0
"Hylaeus hohmanni",0,0,4,0,0,0,0,0,0,0
"Lasioglossum loetum",0,1,0,6,0,0,1,3,0,0
"Lasioglossum viride",1,2,2,0,0,0,3,0,0,0
"Lucilia sericata",1,0,3,0,0,0,0,0,0,0
"Macroglossum stellatarum",0,0,0,0,0,0,0,0,1,0
"Melecta curvispina",0,0,1,0,0,0,0,0,0,0
"Musca domestica",3,5,3,0,0,0,0,0,2,0
"Oscinella sp. 1",1,1,5,0,0,0,0,1,1,0
"Plagiolepis sp. 2",0,0,0,0,0,1,0,0,0,0
"Sarcophagidae sp. 5",1,1,0,0,0,0,0,0,0,0
"Scaeva albomaculata",0,0,1,0,0,0,0,0,0,0
"Sepsis sp.",1,1,0,0,0,0,0,0,0,0
"Themnothorax risii",0,0,0,0,2,2,0,0,0,0
"Thysanoptera sp. 1",1,79,0,0,0,0,0,0,0,9
"Thysanoptera sp. 2",0,0,0,16,2,1,0,0,0,1
"Thysanoptera sp. 3",0,0,0,0,0,0,0,0,0,1
