"Euphorbia balsamifera (f)","Euphorbia balsamifera (m)","Euphorbia regis-jubae","Fagonia albiflora","Launaea arborescens","Lavendula minutolii","Lotus spartioides","Lycium intricatum","Plocama pendula","Rubia fruticosa"
"Agromyzidae sp. 1",0,0,1,0,0,0,0,0,0,0
"Alliophleps elliptica",0,0,0,0,1,0,0,0,0,0
"Amegilla quadrifasciata",0,0,0,0,0,0,0,1,0,0
"Anaspis proteus",0,3,4,0,10,0,0,0,0,0
"Andrena vulcana",0,0,0,1,0,0,0,0,0,0
"Andrena wollastoni",0,1,0,0,0,0,0,0,0,0
"Anthophora alluaudi",0,0,0,0,0,6,0,9,0,0
"Apis mellifera",0,1,0,0,1,0,0,0,3,0
"Atherigona varia",1,0,0,0,0,0,0,0,0,0
"Attalus obscurus",0,1,0,2,4,0,0,0,0,2
"Camponotus feae",62,43,28,1,0,0,0,1,10,32
"Chloropidae sp. 2",0,3,0,0,0,0,0,0,0,0
"Chrysomya albiceps",0,1,0,0,0,0,0,0,0,0
"Coccinella miranda",0,0,0,0,0,0,0,0,0,1
"Dinarmoides spilopterus",0,0,0,0,1,0,0,0,1,0
"Hylaeus hohmanni",0,0,4,0,0,0,0,0,0,0
"Lasioglossum loetum",0,1,0,1,0,0,0,0,4,0
"Lasioglossum viride",0,0,1,0,4,0,0,5,3,0
"Lucilia sericata",0,0,0,0,0,0,0,0,0,3
"Musca domestica",2,0,0,0,0,0,0,0,0,3
"Oscinella sp. 1",1,5,0,0,0,0,0,0,0,0
"Osmia canaria",0,0,0,0,0,0,2,0,0,0
"Osmia latreillei",0,0,0,0,2,0,0,0,0,0
"Phthiria simonyi",0,0,0,0,0,0,0,0,1,0
"Pieris rapae",0,0,0,0,3,0,0,1,0,0
"Plagiolepis sp. 2",0,0,0,0,0,0,0,1,0,0
"Sarcophagidae sp. 5",0,0,1,0,0,0,0,0,0,0
"Scaeva albomaculata",0,0,1,0,0,0,0,0,0,0
"Stenoselma sp.",0,1,0,0,0,0,0,0,0,0
"Thomisus cf. onustus",0,0,0,0,0,0,0,0,1,0
"Thysanoptera sp. 1",0,70,0,0,0,0,0,0,0,0
"Thysanoptera sp. 2",0,0,0,9,0,0,0,0,0,0
"Thysanoptera sp. 3",0,1,0,0,0,0,0,0,0,0
"Tropinota squalida",0,0,0,0,1,0,0,0,0,0
"Urelliosoma guimari",0,0,0,0,2,0,0,0,0,0
