"Argyranthemum frutescens","Ceropegia fusca","Euphorbia balsamifera (f)","Euphorbia balsamifera (m)","Euphorbia lamarckii","Frankenia laevis","Helianthemum canariensis","Launaea arborescens","Lavendula multifida","Lotus sessilifolius","Lycium intricatum","Periploca laevigata","Plocama pendula","Satureja kuegleri","Schizogyne sericea"
"Agromyzidae sp. 1",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Amegilla quadrifasciata",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"Anaspis proteus",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Anthophora alluaudi",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Anthophora orotavae",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Apis mellifera",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"Aprostocetus occidentalis",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Attagenus wollastoni",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bracon sp.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Camponotus feae",0,2,42,37,22,11,0,1,1,2,3,59,4,0,3
"Chalicodoma canescens",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Chrysomya albiceps",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Dinarmoides spilopterus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Eristalinus taeniops",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Eupelmus sp.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Eurytoma sp. 1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Lasioglossum viride",0,0,0,1,0,0,0,1,1,0,0,1,0,1,1
"Lucilia sericata",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Macrocoma splendens",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Megachile canariensis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Musca domestica",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Myopites nigrescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Oscinella sp. 1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Physiphora alceae",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Phyto discrepans",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Plagiolepis sp. 2",0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"Platypalpus sp.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pteromalus sp. 3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sarcophagidae sp. 5",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Sarcophagidae sp. 8",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Scenopinus sp.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaeniscus filiolus",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Stomorhina lunata",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Synthesomyia nudiseta",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Themnothorax hesperius",0,0,0,10,0,8,1,4,1,0,1,0,1,1,3
"Thysanoptera sp. 1",12,0,0,1,1,0,1,0,0,0,0,0,0,3,0
"Thysanoptera sp. 2",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Urelliosoma guimari",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
