"Argyranthemum frutescens","Euphorbia balsamifera (f)","Euphorbia balsamifera (m)","Euphorbia lamarckii","Fagonia albiflora","Frankenia laevis","Helianthemum canariensis","Launaea arborescens","Lotus sessilifolius","Lycium intricatum","Periploca laevigata","Satureja kuegleri","Schizogyne sericea"
"Agromyzidae sp. 1",0,0,2,0,0,0,0,0,0,0,0,0,0
"Ammophila terminata",0,0,0,0,0,1,0,0,0,0,0,0,0
"Anaspis proteus",1,0,15,2,0,0,0,1,0,0,0,0,0
"Anthophora alluaudi",0,0,0,0,0,0,0,0,1,0,0,0,0
"Apis mellifera",0,1,0,4,0,0,1,0,0,0,0,0,1
"Aprostocetus sp. 2",0,0,0,1,0,0,0,0,0,0,0,0,0
"Attagenus wollastoni",2,0,0,0,0,0,0,0,0,0,0,0,1
"Attalus ruficollis",0,0,1,0,0,0,0,0,0,0,0,0,0
"Blaesoxipha sp. 1",0,0,0,1,0,0,0,0,0,0,0,0,0
"Camponotus feae",0,18,11,4,0,3,1,1,0,1,12,0,2
"Chetogena acuminata",0,0,0,1,0,0,0,0,0,0,0,0,0
"Chloropidae sp. 5",0,0,0,0,0,0,0,0,0,0,1,0,0
"Chloropidae sp. 6",0,0,0,0,0,0,0,0,0,0,1,0,0
"Chrysomya albiceps",0,2,0,0,0,0,0,0,0,0,35,0,0
"Dinarmoides spilopterus",0,0,0,0,0,0,0,1,0,0,0,0,0
"Eristalinus aeneus",1,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalinus taeniops",0,0,0,1,0,0,0,1,0,0,0,0,0
"Eristalis tenax",0,0,0,1,0,0,0,0,0,0,0,0,0
"Euderus sp.",0,0,0,0,0,0,0,1,0,0,0,0,1
"Fannia sp.",0,0,0,0,0,0,0,0,0,0,3,0,0
"Gnaphosidae sp. 1",0,0,0,0,0,0,0,0,0,0,0,1,0
"Holepyris sp.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum loetum",1,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum viride",0,0,0,0,0,0,0,3,0,0,0,0,0
"Leptochilus eatoni",0,0,1,0,0,0,0,0,0,0,0,0,0
"Lucilia sericata",0,0,0,2,0,0,0,0,0,0,14,0,0
"Meligethes cf. canariensis",0,0,0,0,0,0,0,0,1,0,0,0,0
"Monomorium subopacum",0,0,0,0,0,1,0,0,0,0,1,0,0
"Mordellistena cf. canariensis",0,0,0,1,0,0,0,0,0,0,0,0,0
"Musca domestica",0,0,0,1,0,0,0,0,0,0,3,1,0
"Myopites nigrescens",3,0,0,0,0,0,0,1,0,0,0,0,19
"Nomioides fortunatus",0,0,0,0,0,0,0,0,1,0,0,0,0
"Oscinella sp. 1",1,0,0,0,0,0,0,0,0,0,0,0,0
"Oscinella sp. 2",0,0,2,0,0,0,0,0,0,0,0,0,0
"Oxyopes cf. kraepelinorum",2,0,0,0,0,0,0,0,0,0,0,0,0
"Phyto discrepans",0,0,0,2,0,0,0,0,0,0,0,0,0
"Plagiolepis schmitzii",0,0,0,0,0,0,0,0,0,0,0,0,2
"Plagiolepis sp. 2",3,0,2,3,0,0,3,7,0,0,1,0,0
"Platypalpus sp. 2",0,0,0,1,0,0,0,0,0,0,0,0,0
"Pteromalus sp. 4 ",4,0,0,0,0,0,0,0,0,0,0,0,0
"Sarcophagidae sp. 5",0,0,0,0,0,0,0,0,0,0,4,0,0
"Sarcophagidae sp. 8",0,0,0,0,0,0,0,0,0,0,2,0,0
"Scenopinus sp.",0,0,0,0,0,0,0,0,0,0,1,0,0
"Sciaridae sp. 1",0,0,0,1,0,0,0,0,0,0,5,0,0
"Sibinia sericea",0,0,1,0,0,0,0,0,0,0,0,0,0
"Synthesomyia nudiseta",0,0,0,2,0,0,0,0,0,0,0,0,0
"Syritta pipiens",1,0,0,0,0,0,0,0,0,0,0,0,0
"Themnothorax hesperius",1,0,0,0,0,6,0,0,1,0,0,0,1
"Thysanoptera sp. 1",28,1,13,0,0,0,2,0,0,0,0,1,1
"Thysanoptera sp. 2",45,0,0,0,3,0,4,5,0,0,0,0,8
"Thysanoptera sp. 3",2,0,0,0,0,0,0,0,0,0,0,0,0
"Torymoides lindbergi",0,0,0,0,0,0,0,3,0,0,0,0,0
"Trixoscelis sp.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Urelliosoma guimari",0,0,0,0,0,0,0,3,0,0,0,0,0
